CUSIP,Short Name,Price Date,Day,Funds,Market Code,Market,Price Source,Bid Price,Ask Price,Last Trade Price,Statement Price,Update Date,Trade Volume,Price Status,Statement Price Status
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-18,Wed,C,XU,CDN MUT FUND,SVC,      9.1824,      9.1824,      9.1824,,2020-11-13,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-17,Tue,C,XU,CDN MUT FUND,SVC,      9.1824,      9.1824,      9.1824,,2020-11-13,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-16,Mon,C,XU,CDN MUT FUND,SVC,      9.1824,      9.1824,      9.1824,,2020-11-13,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-15,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-14,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-13,Fri,C,XU,CDN MUT FUND,SVC,      9.1824,      9.1824,      9.1824,,2020-11-13,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-12,Thu,C,XU,CDN MUT FUND,SVC,      9.4504,      9.4504,      9.4504,,2020-11-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-11,Wed,C,XU,CDN MUT FUND,SVC,      9.4504,      9.4504,      9.4504,,2020-11-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-10,Tue,C,XU,CDN MUT FUND,SVC,      9.4504,      9.4504,      9.4504,,2020-11-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-09,Mon,C,XU,CDN MUT FUND,SVC,      9.4504,      9.4504,      9.4504,,2020-11-06,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-08,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2020-11-07,Sat,C,,,,,,,,,,,
