CUSIP,Short Name,Price Date,Day,Funds,Market Code,Market,Price Source,Bid Price,Ask Price,Last Trade Price,Statement Price,Update Date,Trade Volume,Price Status,Statement Price Status
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-18,Wed,C,XU,CDN MUT FUND,SVC,      14.934,      14.934,      14.934,,2020-11-13,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-17,Tue,C,XU,CDN MUT FUND,SVC,      14.934,      14.934,      14.934,,2020-11-13,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-16,Mon,C,XU,CDN MUT FUND,SVC,      14.934,      14.934,      14.934,,2020-11-13,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-15,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-14,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-13,Fri,C,XU,CDN MUT FUND,SVC,      14.934,      14.934,      14.934,,2020-11-13,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-12,Thu,C,XU,CDN MUT FUND,SVC,      15.367,      15.367,      15.367,,2020-11-06,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-11,Wed,C,XU,CDN MUT FUND,SVC,      15.367,      15.367,      15.367,,2020-11-06,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-10,Tue,C,XU,CDN MUT FUND,SVC,      15.367,      15.367,      15.367,,2020-11-06,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-09,Mon,C,XU,CDN MUT FUND,SVC,      15.367,      15.367,      15.367,,2020-11-06,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-08,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-07,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-06,Fri,C,XU,CDN MUT FUND,SVC,      15.367,      15.367,      15.367,,2020-11-06,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-05,Thu,C,XU,CDN MUT FUND,SVC,      14.857,      14.857,      14.857,,2020-10-30,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-04,Wed,C,XU,CDN MUT FUND,SVC,      14.857,      14.857,      14.857,,2020-10-30,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-03,Tue,C,XU,CDN MUT FUND,SVC,      14.857,      14.857,      14.857,,2020-10-30,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-02,Mon,C,XU,CDN MUT FUND,SVC,      14.857,      14.857,      14.857,,2020-10-30,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-11-01,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-31,Sat,C,,,,,,,      15.333,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-30,Fri,C,XU,CDN MUT FUND,SVC,      14.857,      14.857,      14.857,      15.333,2020-10-30,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-29,Thu,C,XU,CDN MUT FUND,SVC,      15.333,      15.333,      15.333,,2020-10-23,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-28,Wed,C,XU,CDN MUT FUND,SVC,      15.333,      15.333,      15.333,,2020-10-23,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-27,Tue,C,XU,CDN MUT FUND,SVC,      15.333,      15.333,      15.333,,2020-10-23,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-26,Mon,C,XU,CDN MUT FUND,SVC,      15.333,      15.333,      15.333,,2020-10-23,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-25,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-24,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-23,Fri,C,XU,CDN MUT FUND,SVC,      15.333,      15.333,      15.333,,2020-10-23,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-22,Thu,C,XU,CDN MUT FUND,SVC,      15.534,      15.534,      15.534,,2020-10-16,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-21,Wed,C,XU,CDN MUT FUND,SVC,      15.534,      15.534,      15.534,,2020-10-16,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-20,Tue,C,XU,CDN MUT FUND,SVC,      15.534,      15.534,      15.534,,2020-10-16,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-19,Mon,C,XU,CDN MUT FUND,SVC,      15.534,      15.534,      15.534,,2020-10-16,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-18,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-17,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-16,Fri,C,XU,CDN MUT FUND,SVC,      15.534,      15.534,      15.534,,2020-10-16,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-15,Thu,C,XU,CDN MUT FUND,SVC,      15.446,      15.446,      15.446,,2020-10-09,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-14,Wed,C,XU,CDN MUT FUND,SVC,      15.446,      15.446,      15.446,,2020-10-09,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-13,Tue,C,XU,CDN MUT FUND,SVC,      15.446,      15.446,      15.446,,2020-10-09,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-12,Mon,C,XU,CDN MUT FUND,SVC,      15.319,      15.319,      15.319,,2020-10-02,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-11,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-10,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-09,Fri,C,XU,CDN MUT FUND,SVC,      15.446,      15.446,      15.446,,2020-10-09,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-08,Thu,C,XU,CDN MUT FUND,SVC,      15.319,      15.319,      15.319,,2020-10-02,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-07,Wed,C,XU,CDN MUT FUND,SVC,      15.319,      15.319,      15.319,,2020-10-02,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-06,Tue,C,XU,CDN MUT FUND,SVC,      15.319,      15.319,      15.319,,2020-10-02,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-05,Mon,C,XU,CDN MUT FUND,SVC,      15.319,      15.319,      15.319,,2020-10-02,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-04,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-03,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-02,Fri,C,XU,CDN MUT FUND,SVC,      15.319,      15.319,      15.319,,2020-10-02,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-10-01,Thu,C,XU,CDN MUT FUND,SVC,      15.333,      15.333,      15.333,,2020-09-30,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-30,Wed,C,XU,CDN MUT FUND,SVC,      15.333,      15.333,      15.333,      15.235,2020-09-30,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-29,Tue,C,XU,CDN MUT FUND,SVC,      15.235,      15.235,      15.235,,2020-09-25,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-28,Mon,C,XU,CDN MUT FUND,SVC,      15.235,      15.235,      15.235,,2020-09-25,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-27,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-26,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-25,Fri,C,XU,CDN MUT FUND,SVC,      15.235,      15.235,      15.235,,2020-09-25,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-24,Thu,C,XU,CDN MUT FUND,SVC,      15.105,      15.105,      15.105,,2020-09-18,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-23,Wed,C,XU,CDN MUT FUND,SVC,      15.105,      15.105,      15.105,,2020-09-18,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-22,Tue,C,XU,CDN MUT FUND,SVC,      15.105,      15.105,      15.105,,2020-09-18,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-21,Mon,C,XU,CDN MUT FUND,SVC,      15.105,      15.105,      15.105,,2020-09-18,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-20,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-19,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-18,Fri,C,XU,CDN MUT FUND,SVC,      15.105,      15.105,      15.105,,2020-09-18,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-17,Thu,C,XU,CDN MUT FUND,SVC,      15.127,      15.127,      15.127,,2020-09-11,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-16,Wed,C,XU,CDN MUT FUND,SVC,      15.127,      15.127,      15.127,,2020-09-11,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-15,Tue,C,XU,CDN MUT FUND,SVC,      15.127,      15.127,      15.127,,2020-09-11,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-14,Mon,C,XU,CDN MUT FUND,SVC,      15.127,      15.127,      15.127,,2020-09-11,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-13,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-12,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-11,Fri,C,XU,CDN MUT FUND,SVC,      15.127,      15.127,      15.127,,2020-09-11,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-10,Thu,C,XU,CDN MUT FUND,SVC,      15.184,      15.184,      15.184,,2020-09-04,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-09,Wed,C,XU,CDN MUT FUND,SVC,      15.184,      15.184,      15.184,,2020-09-04,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-08,Tue,C,XU,CDN MUT FUND,SVC,      15.184,      15.184,      15.184,,2020-09-04,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-07,Mon,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-06,Sun,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-05,Sat,C,,,,,,,,,,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-04,Fri,C,XU,CDN MUT FUND,SVC,      15.184,      15.184,      15.184,,2020-09-04,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-03,Thu,C,XU,CDN MUT FUND,SVC,      15.370,      15.370,      15.370,,2020-08-31,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-02,Wed,C,XU,CDN MUT FUND,SVC,      15.370,      15.370,      15.370,,2020-08-31,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-09-01,Tue,C,XU,CDN MUT FUND,SVC,      15.370,      15.370,      15.370,,2020-08-31,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-08-31,Mon,C,XU,CDN MUT FUND,SVC,      15.370,      15.370,      15.370,      15.440,2020-08-31,0,,
EHP101F,EHP ADVANTAGE-101F SR F -NL,2020-08-30,Sun,C,,,,,,,,,,,
