Date, Monthly Index Value
12/2004,683.58
01/2005,686.36
02/2005,703.47
03/2005,695.2
04/2005,685.82
05/2005,692.88
06/2005,705.46
07/2005,723.97
08/2005,732.35
09/2005,753.58
10/2005,739.39
11/2005,757.18
12/2005,778.92
01/2006,809.47
02/2006,812.93
03/2006,830.54
04/2006,850.86
05/2006,825.78
06/2006,820.07
07/2006,819.26
08/2006,828.77
09/2006,830.61
10/2006,849.17
11/2006,870.58
12/2006,890.41
01/2007,900.14
02/2007,907.57
03/2007,919.93
04/2007,938.68
05/2007,962.38
06/2007,977.73
07/2007,990.92
08/2007,970.23
09/2007,1000.97
10/2007,1033.21
11/2007,1004.18
12/2007,1010.06
01/2008,960.57
02/2008,978.17
03/2008,952.71
04/2008,973.96
05/2008,995.12
06/2008,970.55
07/2008,939.47
08/2008,915.39
09/2008,844.04
10/2008,771.91
11/2008,752.89
12/2008,754.46
01/2009,747.21
02/2009,736.47
03/2009,755.18
04/2009,784.9
05/2009,835.25
06/2009,836.09
07/2009,863.18
08/2009,876
09/2009,901.61
10/2009,895.62
11/2009,906.8
12/2009,922.2
01/2010,912.2
02/2010,914.94
03/2010,943.6
04/2010,950.79
05/2010,909.24
06/2010,896.29
07/2010,917.07
08/2010,907.71
09/2010,948.82
10/2010,967.98
11/2010,969.63
12/2010,1000.53
01/2011,1004.49
02/2011,1011.72
03/2011,1018.47
04/2011,1033.52
05/2011,1017.91
06/2011,1007.6
07/2011,1006.95
08/2011,960.79
09/2011,908.19
10/2011,951.57
11/2011,932.57
12/2011,923.29
01/2012,955.31
02/2012,982.61
03/2012,981.43
04/2012,975.87
05/2012,932.33
06/2012,940
07/2012,944.88
08/2012,955.37
09/2012,974.02
10/2012,974.85
11/2012,981.42
12/2012,1000
01/2013,1036.17
02/2013,1041.3
03/2013,1051.65
04/2013,1059.02
05/2013,1072.13
06/2013,1054.13
07/2013,1078.09
08/2013,1070.48
09/2013,1096.31
10/2013,1119.22
11/2013,1134.37
12/2013,1152.03
01/2014,1140.78
02/2014,1167.27
03/2014,1158.32
04/2014,1144.13
05/2014,1160.97
06/2014,1176.13
07/2014,1170.49
08/2014,1187.06
09/2014,1177.38
10/2014,1177.18
11/2014,1190.86
12/2014,1192.8
01/2015,1192.51
02/2015,1222.19
03/2015,1230.58
04/2015,1253.21
05/2015,1270.53
06/2015,1253.89
07/2015,1250.74
08/2015,1211.13
09/2015,1190.3
10/2015,1223.43
11/2015,1225.43
12/2015,1223.69
01/2016,1170.32
02/2016,1153.84
03/2016,1187.82
04/2016,1190.58
05/2016,1203.33
06/2016,1189.77
07/2016,1216.6
08/2016,1223.88
09/2016,1235.21
10/2016,1225.11
11/2016,1229.68
12/2016,1236.13
01/2017,1259.41
02/2017,1273.57
03/2017,1287.02
04/2017,1298.69
05/2017,1307.69
06/2017,1318.48
07/2017,1338.84
08/2017,1354.41
09/2017,1370.54
10/2017,1391.58
11/2017,1399.26
12/2017,1413.18
01/2018,1460.68
02/2018,1433.96
03/2018,1426.38
04/2018,1427
05/2018,1438.83
06/2018,1425.06
07/2018,1430.56
08/2018,1425.63
09/2018,1419.14
10/2018,1357.64
11/2018,1353.89
12/2018,1317.83
01/2019,1378.19
02/2019,1398.63
03/2019,1403.86
04/2019,1423.8
05/2019,1396.43
06/2019,1431.27
07/2019,1438.18
08/2019,1417.35
09/2019,1418.52
10/2019,1438.11
11/2019,1457.24
12/2019,1493.24
01/2020,1479.44
02/2020,1437.28
03/2020,1309.79
04/2020,1393.27
05/2020,1432.25
06/2020,1465.35
07/2020,1515.34
08/2020,1558.25
09/2020,1536.69
10/2020,1544.68
