CUSIP,Short Name,Price Date,Day,Funds,Market Code,Market,Price Source,Bid Price,Ask Price,Last Trade Price,Statement Price,Update Date,Trade Volume,Price Status,Statement Price Status
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-18,Wed,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-17,Tue,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-16,Mon,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-15,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-14,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-13,Fri,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-12,Thu,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-11,Wed,C,XU,CDN MUT FUND,SVC,    180.2415,    180.2415,    180.2415,,2020-09-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-10,Tue,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-09,Mon,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-08,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-07,Sat,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-06,Fri,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-05,Thu,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-04,Wed,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-03,Tue,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-02,Mon,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-11-01,Sun,C,,,,,,,,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-10-31,Sat,C,,,,,,,    180.2415,,,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-10-30,Fri,C,XU,CDN MUT FUND,SVC,    173.5611,    173.5611,    173.5611,    180.2415,2020-10-30,0,,
HGC100FM,HGC ARBTRGE LP MSTR CL F -NL,2020-10-29,Thu,C,XU,CDN MUT FUND,SVC,    180.2415,    180.2415,    180.2415,,2020-09-30,0,,
